image_z,image_tilt,robot_z
80,-16,438
197,-6,600
232,-10,716
278,-4,716
317,-5,822
360,-4,963
463,10,963
511,16,1005
62,-18,405
434,10,953
472,10,995
509,12,1035
537,7,1072
566,5,1107
81,-19,439
119,-9,481
157,-3,531
192,-4,587
226,-4,645
267,-1,703
301,-1,758
323,-8,861
368,-3,908
421,2,925
443,-6,969
485,-4,1049
527,-3,1085
557,-5,1119
94,-2,451
121,-2,497
121,-182,1325
154,-2,550
193,-3,608
234,-1,667
280,4,724
310,3,778
345,1,830
382,2,879
412,2,929
436,-3,973
463,-5,1052
498,-5,1052
133,0,502
166,0,556
203,1,614
236,0,672
270,-1,729
303,-2,783
345,4,834
302,-3,1445
302,-183,1445
395,10,883
395,-170,431
548,14,1015
578,8,1089
601,7,1089
195,-1,674
243,13,730
303,6,784
359,4,835
412,8,884
459,9,930
501,10,974
424,7,916
461,6,960
147,-1,543
195,5,597
231,4,655
264,0,712
299,0,767
334,-1,869
374,1,869
515,24,994
563,26,1071
175,-11,583
223,1,643
269,6,701
316,7,809
364,10,859
406,8,906
458,17,951
102,-6,437
465,9,1001
484,2,1041
509,-2,1077
131,-3,483
171,0,536
208,-2,595
238,-2,654
275,1,766
312,1,766
343,0,868
370,-4,915
410,-1,1001
438,-3,945
478,-3,988
512,-5,1028
547,-7,1065
572,-10,1101
597,-11,1163
91,-6,457
130,-4,513
174,-2,574
214,-2,635
249,1,693
285,-1,748
324,-1,801
363,-2,852
405,0,900
485,11,978
538,19,1019
84,-15,496
119,-4,560
173,-8,621
220,2,680
273,5,736
314,2,789
365,9,840
411,13,935
439,6,978
83,-10,411
486,16,1001
526,18,1040
566,17,1077
595,14,1112
620,9,1143
126,-5,469
157,-7,532
204,1,594
243,3,711
310,2,818
357,8,868
388,4,915
432,8,959
432,-172,421
485,3,994
528,7,1034
568,9,1071
81,-9,469
125,-6,524
173,-2,584
222,-1,644
269,1,701
311,0,757
356,0,809
398,0,907
438,0,952
478,-1,997
513,-2,1036
549,-3,1108
583,-5,1108
92,-8,466
130,-7,526
168,-6,587
200,-8,648
294,5,760
338,7,813
375,9,862
156,-8,576
264,-2,694
310,4,750
358,7,803
416,9,853
464,18,901
511,18,946
94,-22,489
525,20,1009
553,10,1048
592,11,1084
617,7,1118
132,-14,546
156,-23,606
217,-6,665
254,-6,722
306,5,776
338,3,828
382,6,877
426,9,923
472,11,967
75,-18,419
492,10,1003
533,12,1003
573,13,1042
601,7,1096
151,-13,535
191,-11,656
229,-9,713
263,-11,713
323,4,820
365,6,870
408,9,917
445,8,961
95,-12,452
140,-10,517
185,-6,580
230,2,641
267,2,699
306,4,754
363,9,807
413,12,857
275,2,691
334,8,747
380,13,850
435,14,898
499,19,944
66,-23,402
490,19,990
517,14,1030
555,14,1068
597,15,1135
630,13,1165
173,-16,638
218,-10,638
261,-3,696
343,1,854
388,7,854
418,3,902
57,-34,418
481,9,958
522,10,1000
572,17,1039
618,17,1076
634,12,1110
123,-16,530
170,-13,592
258,-4,709
304,0,764
349,3,816
393,5,866
66,-19,422
435,10,987
478,12,987
510,11,1028
549,12,1065
594,16,1100
120,-16,517
154,-17,574
210,-4,634
245,1,692
